phase_version,indicator_id,indicator_label,data_domain,grain,unit,quality_tier,dashboard_default,filters_required,flags_required,tooltip,source_url
R4-F9-v1.0.0,regulated_overnights_per_1000_residents,Pernoctaciones regladas por 1.000 residentes,oficial_mensual,CCAA x mes,pernoctaciones por 1.000 residentes,A,True,ccaa | period | analysis_regime,population_age_months,"Intensidad de la demanda reglada respecto al tamaño residente. Cautela: El agregado comparable reúne hotel, camping, turismo rural y apartamentos; no incluye albergues.",https://www.dataestur.es/alojamientos/
R4-F9-v1.0.0,hotel_occupancy_capacity_pct,Ocupación hotelera por plazas,oficial_mensual,CCAA x mes,% de plazas hoteleras,A,True,ccaa | period | analysis_regime,population_age_months,"Utilización de la capacidad hotelera disponible. Cautela: Mide hoteles, no todo el alojamiento reglado; un valor alto no es por sí mismo positivo ni negativo.",https://www.dataestur.es/alojamientos/encuesta-ocupacion-hoteles/
R4-F9-v1.0.0,regulated_beds_per_1000_residents,Plazas regladas por 1.000 residentes,oficial_mensual,CCAA x mes,plazas por 1.000 residentes,A,True,ccaa | period | analysis_regime,population_age_months,Oferta reglada disponible en relación con la población residente. Cautela: Las plazas son estimadas y pueden variar con aperturas temporales.,https://www.dataestur.es/alojamientos/
R4-F9-v1.0.0,frontur_tourists_per_1000_residents,Turistas internacionales por 1.000 residentes,oficial_mensual,CCAA x mes,turistas por 1.000 residentes,B,True,ccaa | period | analysis_regime,population_age_months,"Escala internacional relativa del destino. Cautela: Seis territorios se publican directamente y trece se derivan de microdatos oficiales; Ceuta y, sobre todo, Melilla presentan huecos relevantes. Conservar frontur_geography_status.",https://www.dataestur.es/viajes-ocio/frontur/
R4-F9-v1.0.0,egatur_spend_per_nonresident_tourist_eur,Gasto nominal por turista internacional,oficial_mensual,CCAA x mes,EUR nominales por turista,B,True,ccaa | period | analysis_regime,population_age_months,"Aproxima el rendimiento económico medio de la demanda internacional. Cautela: Euros nominales; cobertura inferior al 95 % y sensible a precios, duración y composición del viaje.",https://www.dataestur.es/economia/gasto-turistico-visitantes-egatur/
R4-F9-v1.0.0,aena_passengers_per_1000_residents,Pasajeros AENA por 1.000 residentes,oficial_mensual,CCAA x mes,pasajeros por 1.000 residentes,B,True,ccaa | period | analysis_regime,aena_is_provisional,Accesibilidad aérea del territorio. Cautela: Pasajero no equivale a turista ni a destino final; 2025 permanece provisional.,https://www.aena.es/es/estadisticas/informes-mensuales.html
R4-F9-v1.0.0,internal_mobility_tourists_per_1000_residents,Movilidad turística interna por 1.000 residentes,oficial_mensual,CCAA x mes,turistas estimados por 1.000 residentes,B,False,ccaa | period | analysis_regime,mobility_statistic_status,Señal mensual de turismo residente basada en telefonía móvil. Cautela: Estadística experimental; comienza en julio de 2019 y no sustituye a la ETR trimestral.,https://www.dataestur.es/viajes-ocio/medicion-del-turismo-a-partir-de-telefonia-movil/
R4-F9-v1.0.0,eurostat_guest_nights_per_1000_residents,Noches de huéspedes en plataformas por 1.000 residentes,oficial_mensual,CCAA x mes,noches de huéspedes por 1.000 residentes,B,False,ccaa | period | analysis_regime,eurostat_methodology_break_2025,Demanda canalizada mediante plataformas de corta estancia. Cautela: Ruptura de cobertura o metodología en 2025; no combinar como si fuera alojamiento reglado adicional.,https://ec.europa.eu/eurostat/databrowser/view/tour_ce_omn12/default/table
R4-F9-v1.0.0,temp_anomaly_z,Anomalía térmica mensual,contexto_mensual,CCAA x mes,desviaciones estándar internas,C,False,ccaa | period | analysis_regime,climate_station_count o holiday_includes_local,Desviación de la temperatura respecto a la referencia de la propia CCAA y mes del año. Cautela: Media simple de estaciones; la Fase 7 no halló una relación plenamente robusta en todas las ventanas.,https://www.aemet.es/es/datos_abiertos/estadisticas/estadistica_meteorofenologicas
R4-F9-v1.0.0,precip_anomaly_z,Anomalía de precipitación mensual,contexto_mensual,CCAA x mes,desviaciones estándar internas,C,False,ccaa | period | analysis_regime,climate_station_count o holiday_includes_local,"Desviación de la precipitación respecto a la referencia de la propia CCAA y mes del año. Cautela: Media simple de estaciones y cobertura variable; usar como contexto, no como efecto causal.",https://www.aemet.es/es/datos_abiertos/estadisticas/estadistica_meteorofenologicas
